corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01338070,뉴스타해피제이차유동화전문유한회사,,E,[변경등록]자산유동화계획의등록신청서[신탁회사(은행신탁계정포함)],20200207000225,하나은행,20200207,정
01428346,슈프림제십육차유동화전문유한회사,,E,자산양도등의등록신청서,20200207000253,한국씨티은행,20200207,
01428346,슈프림제십육차유동화전문유한회사,,E,자산양도등의등록신청서,20200207000238,롯데카드,20200207,정
00243553,신한자산운용,,E,증권신고서(집합투자증권-신탁형)(신한BNPP지수&ETF연계증권투자신탁제1호[DLS-파생형]),20200207000706,신한자산운용,20200207,정
00243553,신한자산운용,,E,증권신고서(집합투자증권-신탁형)(신한BNPP콴토지수연계증권투자신탁KSE-15호[ELS-파생형]),20200207000355,신한자산운용,20200207,정
01168772,비앤와이멜런글로벌펀드,,E,[기재정정]일괄신고서(집합투자증권-회사형)(비앤와이멜런글로벌펀드),20200207000302,비앤와이멜런글로벌펀드,20200207,정
00104500,KB자산운용,,E,증권신고서(집합투자증권-신탁형)(KB스타3Index지수연계증권투자신탁SEC-9호(ELS-파생형)),20200207000679,KB자산운용,20200207,정
00243553,신한자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(신한퇴직연금커버드콜인덱스증권자투자신탁[주식혼합-파생형]),20200207000631,신한자산운용,20200207,정
00243553,신한자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(신한유로커버드콜인덱스증권자투자신탁[주식혼합-파생형]),20200207000612,신한자산운용,20200207,정
00243553,신한자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(신한커버드콜인덱스증권자투자신탁[주식혼합-파생형]),20200207000593,신한자산운용,20200207,정
00243553,신한자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(신한일본인덱스증권자투자신탁제3호(H)[주식]),20200207000140,신한자산운용,20200207,정
